station_name,station_type,latitude,longitude,source
Griebnitzsee,s_bahn,52.39448250,13.12760950,VBB GTFS
Grunewald,s_bahn,52.48827900,13.26107450,VBB GTFS
Grünau,s_bahn,52.41249975,13.57412175,VBB GTFS
Grünbergallee,s_bahn,52.39930700,13.54197250,VBB GTFS
Görlitzer Bahnhof,u_bahn,52.49928100,13.42828000,VBB GTFS
Güntzelstr.,u_bahn,52.49204850,13.33100200,VBB GTFS
Hackescher Markt,s_bahn,52.52269450,13.40244600,VBB GTFS
Halemweg,u_bahn,52.53662750,13.28626750,VBB GTFS
Halensee,s_bahn,52.49603800,13.29059600,VBB GTFS
Hallesches Tor,u_bahn,52.49839600,13.39103000,VBB GTFS
Hansaplatz,u_bahn,52.51787750,13.34207450,VBB GTFS
Haselhorst,u_bahn,52.53871400,13.23309150,VBB GTFS
Hausvogteiplatz,u_bahn,52.51335200,13.39554900,VBB GTFS
Heerstr.,s_bahn,52.50781400,13.25981300,VBB GTFS
Hegermühle,s_bahn,52.54857400,13.86654000,VBB GTFS
Heidelberger Platz,s_bahn,52.48004250,13.31181900,VBB GTFS
Heidelberger Platz,u_bahn,52.48023850,13.31317050,VBB GTFS
Heiligensee,s_bahn,52.62450300,13.22941600,VBB GTFS
Heinrich-Heine-Str.,u_bahn,52.51009850,13.41576800,VBB GTFS
Hellersdorf,u_bahn,52.53666850,13.60661750,VBB GTFS
Hennigsdorf,s_bahn,52.63746550,13.20605800,VBB GTFS
Hermannplatz,u_bahn,52.48642225,13.42432575,VBB GTFS
Hermannstr.,s_bahn,52.46763400,13.43122950,VBB GTFS
Hermannstr.,u_bahn,52.46763450,13.43122650,VBB GTFS
Hermsdorf,s_bahn,52.61731150,13.30768750,VBB GTFS
Hirschgarten,s_bahn,52.45790900,13.60312300,VBB GTFS
Hohen Neuendorf,s_bahn,52.66864450,13.28705100,VBB GTFS
Hohenschönhausen Bhf,s_bahn,52.56624400,13.51254650,VBB GTFS
Hohenzollerndamm,s_bahn,52.48867100,13.30027100,VBB GTFS
Hohenzollernplatz,u_bahn,52.49414150,13.32490400,VBB GTFS
Hoppegarten,s_bahn,52.51820250,13.67395500,VBB GTFS
Humboldthain,s_bahn,52.54486950,13.37943050,VBB GTFS
Hönow,u_bahn,52.53838800,13.63312967,VBB GTFS
Innsbrucker Platz,s_bahn,52.47811150,13.34146550,VBB GTFS
Innsbrucker Platz,u_bahn,52.47926200,13.34362300,VBB GTFS
Jakob-Kaiser-Platz,u_bahn,52.53624100,13.29365700,VBB GTFS
Jannowitzbrücke,s_bahn,52.51422150,13.41949850,VBB GTFS
Jannowitzbrücke,u_bahn,52.51558100,13.41818900,VBB GTFS
Johannisthal,s_bahn,52.44664100,13.52410600,VBB GTFS
